iter	Passed	Remaining
0	144	143858
1	146	73288
2	150	50056
3	153	38339
4	157	31248
5	160	26522
6	163	23191
7	166	20646
8	169	18713
9	172	17093
10	176	15842
11	179	14755
12	182	13882
13	185	13096
14	189	12430
15	192	11812
16	195	11291
17	198	10817
18	201	10404
19	204	10018
20	207	9686
21	210	9378
22	214	9092
23	217	8839
24	220	8598
25	223	8366
26	226	8154
27	229	7968
28	232	7777
29	235	7610
30	238	7448
31	241	7310
32	244	7170
33	248	7058
34	251	6941
35	254	6826
36	257	6712
37	261	6612
38	264	6514
39	267	6427
40	271	6341
41	274	6259
42	277	6174
43	280	6102
44	284	6030
45	287	5956
46	290	5886
47	293	5816
48	296	5752
49	299	5688
50	302	5631
51	305	5573
52	308	5517
53	311	5463
54	315	5419
55	318	5372
56	321	5325
57	324	5275
58	327	5227
59	330	5181
60	333	5136
61	336	5092
62	339	5049
63	342	5010
64	345	4976
65	349	4942
66	352	4903
67	355	4867
68	358	4831
69	361	4798
70	364	4763
71	367	4733
72	370	4701
73	373	4669
74	376	4640
75	379	4613
76	382	4585
77	385	4557
78	387	4515
79	389	4478
80	392	4457
81	396	4435
82	399	4413
83	402	4390
84	405	4367
85	408	4343
86	411	4321
87	415	4301
88	417	4276
89	421	4257
90	423	4235
91	426	4214
92	429	4192
93	431	4162
94	433	4130
95	436	4111
96	439	4091
97	442	4075
98	445	4057
99	448	4035
100	451	4021
101	454	4005
102	458	3989
103	460	3967
104	463	3953
105	467	3942
106	470	3930
107	474	3921
108	478	3910
109	483	3910
110	486	3892
111	489	3883
112	492	3862
113	496	3855
114	499	3844
115	502	3833
116	506	3823
117	508	3803
118	511	3784
119	514	3772
120	517	3762
121	521	3753
122	525	3744
123	528	3734
124	531	3723
125	535	3717
126	539	3711
127	544	3709
128	548	3702
129	551	3694
130	555	3685
131	559	3677
132	562	3666
133	566	3658
134	570	3656
135	573	3646
136	577	3638
137	581	3629
138	584	3623
139	588	3616
140	592	3609
141	596	3602
142	600	3599
143	605	3597
144	608	3590
145	611	3574
146	614	3567
147	618	3559
148	622	3553
149	625	3546
150	628	3532
151	630	3517
152	634	3510
153	637	3504
154	641	3499
155	645	3494
156	648	3484
157	652	3476
158	655	3467
159	657	3452
160	661	3444
161	664	3437
162	667	3429
163	671	3421
164	673	3407
165	675	3393
166	677	3379
167	680	3372
168	684	3365
169	687	3358
170	692	3358
171	695	3346
172	699	3342
173	703	3337
174	706	3331
175	709	3323
176	713	3316
177	716	3310
178	720	3305
179	723	3297
180	727	3292
181	730	3285
182	734	3279
183	738	3274
184	741	3268
185	745	3262
186	748	3255
187	752	3249
188	755	3242
189	759	3236
190	763	3232
191	766	3226
192	769	3219
193	773	3212
194	777	3207
195	781	3204
196	784	3199
197	788	3192
198	791	3185
199	795	3180
200	798	3173
201	800	3162
202	803	3156
203	807	3149
204	810	3144
205	814	3138
206	817	3131
207	820	3125
208	824	3119
209	826	3108
210	829	3102
211	832	3095
212	836	3090
213	839	3083
214	843	3078
215	845	3067
216	848	3061
217	851	3055
218	855	3049
219	858	3044
220	862	3039
221	865	3033
222	868	3027
223	872	3022
224	875	3017
225	879	3011
226	882	3005
227	884	2994
228	888	2991
229	892	2986
230	895	2982
231	899	2976
232	902	2970
233	905	2965
234	909	2959
235	912	2953
236	915	2948
237	919	2943
238	922	2938
239	926	2932
240	929	2926
241	932	2920
242	935	2914
243	938	2908
244	941	2902
245	944	2896
246	948	2890
247	951	2884
248	954	2879
249	957	2873
250	960	2867
251	964	2861
252	967	2855
253	970	2850
254	973	2844
255	976	2839
256	979	2832
257	982	2826
258	986	2821
259	989	2815
260	991	2807
261	994	2802
262	997	2796
263	1001	2790
264	1004	2785
265	1007	2779
266	1010	2773
267	1013	2767
268	1014	2758
269	1018	2754
270	1020	2745
271	1023	2740
272	1025	2731
273	1027	2722
274	1030	2716
275	1033	2711
276	1036	2706
277	1039	2700
278	1042	2695
279	1046	2690
280	1049	2685
281	1052	2680
282	1055	2675
283	1059	2670
284	1062	2665
285	1065	2660
286	1068	2655
287	1071	2650
288	1075	2645
289	1077	2638
290	1081	2634
291	1084	2630
292	1088	2626
293	1091	2621
294	1095	2617
295	1098	2612
296	1102	2608
297	1103	2599
298	1106	2593
299	1109	2588
300	1112	2582
301	1115	2578
302	1118	2573
303	1122	2569
304	1125	2564
305	1128	2559
306	1131	2554
307	1133	2546
308	1136	2541
309	1139	2537
310	1143	2532
311	1146	2528
312	1150	2524
313	1153	2520
314	1157	2516
315	1160	2511
316	1163	2507
317	1167	2503
318	1170	2498
319	1173	2494
320	1177	2490
321	1180	2485
322	1183	2481
323	1187	2477
324	1190	2472
325	1194	2468
326	1197	2464
327	1200	2459
328	1203	2455
329	1207	2450
330	1210	2446
331	1214	2443
332	1217	2438
333	1221	2434
334	1224	2430
335	1227	2426
336	1230	2421
337	1234	2417
338	1237	2413
339	1241	2409
340	1245	2406
341	1248	2402
342	1252	2398
343	1255	2393
344	1258	2389
345	1262	2386
346	1265	2381
347	1268	2376
348	1271	2372
349	1274	2367
350	1278	2363
351	1281	2359
352	1284	2355
353	1288	2350
354	1291	2346
355	1295	2342
356	1298	2338
357	1301	2333
358	1304	2329
359	1308	2325
360	1311	2321
361	1314	2317
362	1317	2311
363	1320	2307
364	1323	2302
365	1327	2298
366	1330	2294
367	1333	2290
368	1336	2285
369	1340	2282
370	1344	2278
371	1347	2275
372	1351	2270
373	1354	2267
374	1357	2263
375	1362	2260
376	1366	2257
377	1369	2254
378	1373	2251
379	1377	2247
380	1380	2243
381	1383	2238
382	1387	2234
383	1390	2230
384	1393	2225
385	1396	2221
386	1399	2216
387	1403	2213
388	1406	2209
389	1410	2205
390	1413	2201
391	1416	2196
392	1419	2193
393	1423	2189
394	1426	2185
395	1430	2181
396	1433	2177
397	1437	2173
398	1440	2170
399	1443	2165
400	1446	2160
401	1449	2156
402	1452	2152
403	1456	2148
404	1460	2145
405	1463	2140
406	1466	2136
407	1469	2132
408	1473	2128
409	1476	2124
410	1477	2117
411	1480	2113
412	1483	2108
413	1486	2104
414	1489	2100
415	1493	2096
416	1496	2091
417	1499	2087
418	1502	2084
419	1506	2079
420	1509	2075
421	1512	2071
422	1515	2067
423	1518	2063
424	1522	2059
425	1525	2055
426	1528	2051
427	1531	2047
428	1535	2043
429	1538	2038
430	1541	2034
431	1544	2030
432	1547	2026
433	1550	2022
434	1553	2017
435	1556	2013
436	1559	2008
437	1562	2005
438	1566	2002
439	1569	1997
440	1572	1993
441	1575	1989
442	1577	1984
443	1581	1979
444	1584	1975
445	1587	1971
446	1590	1967
447	1593	1963
448	1597	1959
449	1600	1955
450	1603	1951
451	1606	1947
452	1609	1943
453	1613	1940
454	1616	1936
455	1619	1932
456	1622	1928
457	1625	1923
458	1629	1920
459	1632	1916
460	1635	1912
461	1638	1908
462	1641	1904
463	1644	1900
464	1648	1896
465	1651	1892
466	1654	1888
467	1657	1884
468	1660	1879
469	1663	1875
470	1667	1872
471	1670	1868
472	1673	1864
473	1676	1860
474	1680	1857
475	1683	1853
476	1686	1849
477	1689	1845
478	1692	1841
479	1696	1837
480	1699	1833
481	1702	1829
482	1705	1825
483	1709	1822
484	1712	1818
485	1715	1814
486	1718	1810
487	1722	1806
488	1725	1803
489	1729	1799
490	1732	1796
491	1735	1792
492	1738	1788
493	1742	1784
494	1744	1780
495	1748	1776
496	1751	1772
497	1753	1767
498	1757	1764
499	1760	1760
500	1763	1756
501	1766	1752
502	1770	1748
503	1773	1745
504	1776	1740
505	1779	1736
506	1782	1732
507	1785	1728
508	1788	1725
509	1791	1721
510	1794	1717
511	1797	1713
512	1801	1709
513	1804	1705
514	1807	1701
515	1810	1698
516	1813	1694
517	1817	1690
518	1820	1687
519	1823	1683
520	1827	1679
521	1830	1676
522	1832	1671
523	1835	1667
524	1838	1663
525	1842	1660
526	1845	1656
527	1848	1652
528	1851	1648
529	1854	1644
530	1857	1640
531	1860	1637
532	1863	1633
533	1867	1629
534	1870	1625
535	1873	1621
536	1876	1617
537	1879	1613
538	1883	1610
539	1886	1607
540	1890	1603
541	1893	1600
542	1897	1596
543	1900	1593
544	1904	1589
545	1907	1586
546	1910	1582
547	1914	1579
548	1918	1575
549	1921	1572
550	1925	1568
551	1928	1565
552	1932	1561
553	1935	1558
554	1938	1554
555	1941	1550
556	1944	1546
557	1948	1543
558	1951	1539
559	1954	1536
560	1957	1532
561	1961	1528
562	1964	1524
563	1967	1520
564	1970	1517
565	1973	1513
566	1977	1509
567	1980	1506
568	1983	1502
569	1987	1499
570	1990	1495
571	1993	1491
572	1996	1487
573	1999	1483
574	2002	1480
575	2005	1476
576	2008	1472
577	2012	1469
578	2015	1465
579	2018	1461
580	2021	1458
581	2024	1454
582	2027	1450
583	2030	1446
584	2033	1442
585	2036	1439
586	2039	1435
587	2043	1431
588	2046	1428
589	2050	1424
590	2053	1420
591	2056	1417
592	2059	1413
593	2062	1409
594	2065	1406
595	2069	1402
596	2072	1398
597	2075	1395
598	2078	1391
599	2081	1387
600	2084	1384
601	2088	1380
602	2091	1376
603	2094	1373
604	2097	1369
605	2100	1365
606	2104	1362
607	2107	1358
608	2110	1354
609	2113	1351
610	2116	1347
611	2120	1344
612	2122	1340
613	2126	1336
614	2129	1332
615	2131	1329
616	2135	1325
617	2137	1321
618	2141	1317
619	2144	1314
620	2147	1310
621	2150	1307
622	2154	1303
623	2156	1299
624	2160	1296
625	2163	1292
626	2166	1288
627	2169	1285
628	2172	1281
629	2176	1278
630	2179	1274
631	2183	1271
632	2186	1267
633	2189	1264
634	2193	1260
635	2196	1256
636	2199	1253
637	2202	1249
638	2205	1246
639	2209	1242
640	2212	1239
641	2215	1235
642	2218	1231
643	2221	1228
644	2224	1224
645	2227	1220
646	2230	1217
647	2233	1213
648	2237	1210
649	2241	1206
650	2244	1203
651	2247	1199
652	2250	1196
653	2254	1192
654	2257	1188
655	2259	1185
656	2262	1181
657	2265	1177
658	2269	1174
659	2272	1170
660	2275	1167
661	2278	1163
662	2281	1159
663	2284	1156
664	2287	1152
665	2290	1148
666	2294	1145
667	2297	1141
668	2300	1138
669	2303	1134
670	2306	1131
671	2310	1127
672	2313	1124
673	2316	1120
674	2319	1116
675	2322	1113
676	2325	1109
677	2328	1105
678	2331	1102
679	2335	1098
680	2338	1095
681	2341	1091
682	2344	1088
683	2347	1084
684	2350	1081
685	2354	1077
686	2357	1074
687	2361	1070
688	2365	1067
689	2368	1064
690	2372	1060
691	2375	1057
692	2378	1053
693	2381	1050
694	2384	1046
695	2387	1042
696	2390	1039
697	2393	1035
698	2397	1032
699	2400	1028
700	2403	1025
701	2406	1021
702	2409	1018
703	2412	1014
704	2416	1010
705	2419	1007
706	2422	1003
707	2425	1000
708	2428	996
709	2432	993
710	2435	990
711	2438	986
712	2441	982
713	2444	979
714	2447	975
715	2451	972
716	2454	968
717	2457	965
718	2461	961
719	2464	958
720	2467	955
721	2470	951
722	2474	947
723	2477	944
724	2480	940
725	2483	937
726	2486	933
727	2489	929
728	2492	926
729	2495	923
730	2499	919
731	2502	916
732	2505	912
733	2508	909
734	2511	905
735	2514	902
736	2518	898
737	2521	895
738	2524	891
739	2528	888
740	2531	884
741	2534	881
742	2537	877
743	2540	874
744	2543	870
745	2546	867
746	2549	863
747	2553	860
748	2556	856
749	2559	853
750	2562	849
751	2566	846
752	2569	842
753	2572	839
754	2575	835
755	2578	832
756	2581	828
757	2585	825
758	2587	821
759	2591	818
760	2595	815
761	2598	811
762	2601	808
763	2604	804
764	2607	801
765	2610	797
766	2614	794
767	2617	790
768	2620	787
769	2623	783
770	2626	780
771	2630	776
772	2633	773
773	2636	769
774	2639	766
775	2643	762
776	2645	759
777	2648	755
778	2652	752
779	2655	749
780	2658	745
781	2661	742
782	2664	738
783	2667	735
784	2670	731
785	2673	728
786	2676	724
787	2680	721
788	2683	717
789	2686	714
790	2690	710
791	2693	707
792	2696	703
793	2700	700
794	2703	697
795	2706	693
796	2709	690
797	2713	686
798	2715	683
799	2719	679
800	2722	676
801	2725	673
802	2729	669
803	2732	666
804	2735	662
805	2738	659
806	2741	655
807	2744	652
808	2748	648
809	2751	645
810	2754	641
811	2757	638
812	2761	635
813	2764	631
814	2767	628
815	2770	624
816	2773	621
817	2776	617
818	2779	614
819	2783	610
820	2786	607
821	2789	604
822	2792	600
823	2795	597
824	2798	593
825	2802	590
826	2805	586
827	2808	583
828	2812	580
829	2815	576
830	2818	573
831	2821	569
832	2825	566
833	2827	562
834	2830	559
835	2833	555
836	2837	552
837	2840	549
838	2843	545
839	2847	542
840	2850	538
841	2853	535
842	2856	531
843	2859	528
844	2862	525
845	2866	521
846	2869	518
847	2872	514
848	2875	511
849	2878	507
850	2882	504
851	2885	501
852	2888	497
853	2891	494
854	2894	490
855	2897	487
856	2900	483
857	2903	480
858	2906	477
859	2909	473
860	2912	470
861	2915	466
862	2918	463
863	2921	459
864	2925	456
865	2929	453
866	2932	449
867	2936	446
868	2939	443
869	2942	439
870	2946	436
871	2949	432
872	2953	429
873	2956	426
874	2959	422
875	2963	419
876	2966	416
877	2969	412
878	2973	409
879	2977	405
880	2980	402
881	2984	399
882	2987	395
883	2990	392
884	2993	389
885	2996	385
886	3000	382
887	3003	378
888	3006	375
889	3010	372
890	3013	368
891	3016	365
892	3019	361
893	3022	358
894	3025	354
895	3028	351
896	3031	348
897	3034	344
898	3037	341
899	3040	337
900	3043	334
901	3046	331
902	3050	327
903	3053	324
904	3056	320
905	3059	317
906	3062	313
907	3065	310
908	3068	307
